,Age,Education,Occupation,Relationship,Race,Sex,Target
8247,43,Some-college,Adm-clerical,Not-in-family,White,Female,<=50K
8248,23,Bachelors,Other-service,Husband,White,Male,<=50K
8249,44,Prof-school,Prof-specialty,Husband,White,Male,>50K
8250,41,Bachelors,Other-service,Not-in-family,White,Male,<=50K
8251,49,Masters,Prof-specialty,Unmarried,Black,Female,>50K
8252,30,HS-grad,Transport-moving,Not-in-family,White,Male,>50K
8253,23,Some-college,Handlers-cleaners,Own-child,White,Male,<=50K
8254,39,HS-grad,Adm-clerical,Own-child,White,Female,<=50K
8255,32,Bachelors,Sales,Husband,White,Male,>50K
8256,50,Some-college,Craft-repair,Husband,White,Male,>50K
8257,19,Some-college,Adm-clerical,Own-child,White,Female,<=50K
8258,35,Bachelors,Sales,Husband,White,Male,>50K
8259,23,HS-grad,Craft-repair,Not-in-family,White,Male,<=50K
8260,25,Some-college,Craft-repair,Not-in-family,White,Male,<=50K
8261,40,HS-grad,Sales,Not-in-family,White,Female,<=50K
8262,30,Bachelors,Exec-managerial,Husband,Black,Male,>50K
8263,52,Some-college,Craft-repair,Husband,White,Male,>50K
8264,49,Some-college,Machine-op-inspct,Husband,Black,Male,<=50K
8265,24,Bachelors,Adm-clerical,Own-child,White,Female,<=50K
8266,46,Bachelors,Exec-managerial,Husband,White,Male,>50K
8267,39,Bachelors,Sales,Husband,White,Male,>50K
8268,45,Bachelors,Exec-managerial,Husband,White,Male,>50K
8269,62,Bachelors,Adm-clerical,Wife,White,Female,<=50K
8270,43,Bachelors,Prof-specialty,Husband,White,Male,>50K
8271,45,Some-college,Machine-op-inspct,Unmarried,White,Female,<=50K
8272,62,HS-grad,Sales,Husband,White,Male,<=50K
8273,48,5th-6th,Handlers-cleaners,Not-in-family,White,Male,<=50K
8274,56,HS-grad,Other-service,Unmarried,Black,Female,<=50K
8275,28,HS-grad,Farming-fishing,Unmarried,White,Female,<=50K
8276,23,HS-grad,Craft-repair,Own-child,Black,Male,<=50K
8277,43,HS-grad,Other-service,Not-in-family,White,Female,<=50K
8278,26,Bachelors,Craft-repair,Husband,White,Male,>50K
8279,36,HS-grad,Sales,Husband,White,Male,>50K
8280,55,Doctorate,Prof-specialty,Not-in-family,White,Female,<=50K
8281,48,Bachelors,Exec-managerial,Not-in-family,White,Female,<=50K
8282,43,5th-6th,Machine-op-inspct,Wife,Asian-Pac-Islander,Female,<=50K
8283,38,Assoc-voc,Exec-managerial,Husband,White,Male,>50K
8284,18,HS-grad,Sales,Not-in-family,White,Male,<=50K
8285,56,HS-grad,Exec-managerial,Not-in-family,White,Male,<=50K
8286,39,Masters,Prof-specialty,Not-in-family,White,Male,<=50K
8287,46,5th-6th,Handlers-cleaners,Not-in-family,White,Male,<=50K
8288,36,11th,Transport-moving,Unmarried,Amer-Indian-Eskimo,Male,<=50K
8289,42,HS-grad,Craft-repair,Husband,White,Male,<=50K
8290,50,HS-grad,Transport-moving,Husband,White,Male,>50K
8291,17,11th,Handlers-cleaners,Own-child,White,Male,<=50K
8292,57,7th-8th,Machine-op-inspct,Unmarried,Black,Female,<=50K
8293,73,HS-grad,Other-service,Other-relative,White,Female,<=50K
8294,50,Some-college,Adm-clerical,Not-in-family,White,Male,<=50K
8295,35,Some-college,Transport-moving,Own-child,White,Male,<=50K
8296,27,Some-college,Machine-op-inspct,Husband,White,Male,<=50K
8297,24,Some-college,?,Not-in-family,White,Female,<=50K
8298,27,Some-college,Craft-repair,Own-child,White,Male,<=50K
8299,23,HS-grad,Craft-repair,Own-child,White,Male,<=50K
8300,25,HS-grad,Adm-clerical,Own-child,White,Female,<=50K
8301,51,Bachelors,Exec-managerial,Husband,White,Male,>50K
8302,26,10th,Adm-clerical,Wife,White,Female,<=50K
8303,47,Some-college,Adm-clerical,Husband,White,Male,<=50K
8304,40,HS-grad,Other-service,Not-in-family,Black,Male,<=50K
8305,58,9th,Other-service,Unmarried,White,Female,<=50K
8306,25,Some-college,Sales,Own-child,White,Female,<=50K
8307,29,HS-grad,Sales,Wife,White,Female,<=50K
8308,36,11th,Transport-moving,Husband,White,Male,<=50K
8309,46,HS-grad,Exec-managerial,Not-in-family,White,Female,<=50K
8310,69,1st-4th,Priv-house-serv,Not-in-family,Black,Female,<=50K
8311,69,HS-grad,Adm-clerical,Not-in-family,White,Female,<=50K
8312,28,HS-grad,Other-service,Own-child,Black,Female,<=50K
8313,20,HS-grad,Adm-clerical,Own-child,White,Male,<=50K
8314,54,HS-grad,Adm-clerical,Unmarried,Black,Female,<=50K
8315,25,Some-college,Transport-moving,Own-child,White,Male,<=50K
8316,64,HS-grad,Handlers-cleaners,Husband,White,Male,<=50K
8317,17,HS-grad,Sales,Own-child,White,Female,<=50K
8318,53,HS-grad,Adm-clerical,Husband,White,Male,<=50K
8319,50,9th,Transport-moving,Not-in-family,White,Male,<=50K
8320,57,HS-grad,Exec-managerial,Wife,White,Female,<=50K
8321,51,Some-college,Transport-moving,Husband,White,Male,<=50K
8322,20,Some-college,?,Own-child,White,Male,<=50K
8323,47,Some-college,Craft-repair,Husband,White,Male,<=50K
8324,25,HS-grad,Transport-moving,Unmarried,White,Male,<=50K
8325,50,Prof-school,Exec-managerial,Husband,White,Male,>50K
8326,20,HS-grad,Adm-clerical,Own-child,White,Female,<=50K
8327,43,Prof-school,Prof-specialty,Husband,White,Male,>50K
8328,46,Bachelors,Prof-specialty,Not-in-family,White,Female,<=50K
8329,54,HS-grad,Adm-clerical,Unmarried,White,Female,<=50K
8330,53,Some-college,Exec-managerial,Unmarried,Amer-Indian-Eskimo,Female,<=50K
8331,21,HS-grad,Craft-repair,Own-child,White,Male,<=50K
8332,58,Some-college,Other-service,Not-in-family,White,Male,<=50K
8333,30,Bachelors,Sales,Husband,White,Male,>50K
8334,61,HS-grad,Adm-clerical,Wife,Black,Female,<=50K
8335,56,Some-college,Adm-clerical,Not-in-family,White,Female,<=50K
8336,59,HS-grad,Other-service,Unmarried,White,Female,<=50K
8337,72,HS-grad,Handlers-cleaners,Husband,White,Male,<=50K
8338,33,HS-grad,Adm-clerical,Not-in-family,White,Male,<=50K
8339,46,HS-grad,Adm-clerical,Wife,White,Female,>50K
8340,46,Some-college,Protective-serv,Husband,White,Male,>50K
8341,48,HS-grad,Prof-specialty,Unmarried,Black,Female,<=50K
8342,33,HS-grad,Exec-managerial,Husband,White,Male,<=50K
8343,21,Some-college,Handlers-cleaners,Own-child,White,Female,<=50K
8344,27,HS-grad,Adm-clerical,Unmarried,White,Female,<=50K
8345,31,HS-grad,Transport-moving,Not-in-family,White,Male,<=50K
8346,28,Bachelors,Machine-op-inspct,Not-in-family,White,Male,<=50K
8347,45,Some-college,Adm-clerical,Not-in-family,White,Female,<=50K
8348,51,HS-grad,Machine-op-inspct,Husband,White,Male,>50K
8349,46,HS-grad,Other-service,Not-in-family,Black,Female,<=50K
8350,25,Some-college,Sales,Husband,White,Male,<=50K
8351,61,Some-college,Adm-clerical,Husband,White,Male,>50K
8352,17,11th,Sales,Own-child,White,Female,<=50K
8353,26,Bachelors,Craft-repair,Not-in-family,White,Male,<=50K
8354,35,10th,Craft-repair,Not-in-family,White,Male,<=50K
8355,33,11th,Exec-managerial,Husband,White,Male,<=50K
8356,37,12th,Sales,Wife,Asian-Pac-Islander,Female,<=50K
8357,39,HS-grad,Adm-clerical,Own-child,White,Female,<=50K
8358,42,HS-grad,Other-service,Unmarried,White,Female,<=50K
8359,35,Bachelors,Exec-managerial,Husband,White,Male,>50K
8360,45,HS-grad,Tech-support,Not-in-family,White,Female,>50K
8361,47,Bachelors,Sales,Own-child,White,Male,>50K
8362,64,11th,Craft-repair,Husband,White,Male,<=50K
8363,39,Prof-school,Exec-managerial,Wife,White,Female,>50K
8364,43,HS-grad,?,Unmarried,White,Female,<=50K
8365,34,HS-grad,Prof-specialty,Husband,White,Male,<=50K
8366,62,Bachelors,Prof-specialty,Husband,White,Male,>50K
8367,53,Some-college,Prof-specialty,Husband,White,Male,>50K
8368,31,Bachelors,Exec-managerial,Husband,White,Male,<=50K
8369,26,HS-grad,Sales,Husband,White,Male,<=50K
8370,56,7th-8th,Craft-repair,Husband,White,Male,>50K
8371,43,Some-college,Other-service,Not-in-family,White,Female,<=50K
8372,33,Some-college,Sales,Not-in-family,Black,Male,<=50K
8373,45,Some-college,Craft-repair,Husband,White,Male,>50K
8374,46,Some-college,Sales,Not-in-family,White,Male,<=50K
8375,26,Assoc-voc,Handlers-cleaners,Husband,White,Male,<=50K
8376,24,HS-grad,Other-service,Own-child,White,Female,<=50K
8377,43,Bachelors,Farming-fishing,Husband,White,Male,>50K
8378,40,Assoc-voc,Machine-op-inspct,Own-child,White,Male,<=50K
8379,61,7th-8th,Other-service,Not-in-family,White,Male,<=50K
8380,34,Some-college,Adm-clerical,Not-in-family,Black,Female,<=50K
8381,85,HS-grad,Sales,Unmarried,White,Male,<=50K
8382,41,HS-grad,Adm-clerical,Not-in-family,White,Female,<=50K
8383,31,Assoc-acdm,Adm-clerical,Not-in-family,White,Female,<=50K
8384,22,Some-college,Sales,Own-child,White,Female,<=50K
8385,60,HS-grad,Other-service,Unmarried,Black,Female,<=50K
8386,29,Assoc-acdm,Prof-specialty,Not-in-family,White,Female,<=50K
8387,34,HS-grad,?,Husband,White,Male,<=50K
8388,35,Bachelors,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,<=50K
8389,24,HS-grad,Sales,Not-in-family,White,Male,<=50K
8390,45,Masters,Prof-specialty,Not-in-family,Black,Male,<=50K
8391,21,12th,Other-service,Own-child,Black,Male,<=50K
8392,30,Assoc-acdm,Transport-moving,Wife,White,Female,>50K
8393,50,Some-college,Exec-managerial,Husband,White,Male,>50K
8394,41,HS-grad,Exec-managerial,Husband,White,Male,>50K
8395,21,HS-grad,Sales,Not-in-family,White,Female,<=50K
8396,45,HS-grad,Craft-repair,Husband,White,Male,<=50K
8397,34,Bachelors,Exec-managerial,Husband,White,Male,>50K
8398,28,HS-grad,Handlers-cleaners,Own-child,White,Male,<=50K
8399,19,HS-grad,Other-service,Unmarried,White,Male,<=50K
8400,26,Bachelors,Prof-specialty,Not-in-family,White,Male,>50K
8401,48,Bachelors,Transport-moving,Husband,White,Male,>50K
8402,69,Bachelors,Prof-specialty,Not-in-family,White,Male,>50K
8403,41,Some-college,Adm-clerical,Unmarried,White,Female,<=50K
8404,43,Bachelors,Adm-clerical,Not-in-family,White,Female,<=50K
8405,28,HS-grad,Craft-repair,Unmarried,White,Male,<=50K
8406,65,Some-college,Adm-clerical,Not-in-family,White,Female,<=50K
8407,31,Bachelors,Exec-managerial,Not-in-family,White,Male,<=50K
8408,28,Bachelors,Adm-clerical,Not-in-family,White,Female,<=50K
8409,51,Bachelors,Prof-specialty,Husband,White,Male,>50K
8410,45,Some-college,Craft-repair,Not-in-family,White,Female,<=50K
8411,43,HS-grad,Adm-clerical,Other-relative,Black,Male,<=50K
8412,31,Assoc-acdm,Sales,Husband,White,Male,<=50K
8413,31,Some-college,Craft-repair,Husband,White,Male,>50K
8414,45,Some-college,Craft-repair,Other-relative,Asian-Pac-Islander,Male,<=50K
8415,20,Bachelors,Sales,Other-relative,Black,Female,<=50K
8416,25,Bachelors,Tech-support,Unmarried,White,Male,<=50K
8417,36,HS-grad,Handlers-cleaners,Unmarried,White,Female,<=50K
8418,31,Bachelors,Sales,Not-in-family,White,Male,<=50K
8419,56,Some-college,Craft-repair,Husband,White,Male,<=50K
8420,26,Bachelors,Sales,Own-child,White,Male,<=50K
8421,47,Some-college,Exec-managerial,Not-in-family,White,Female,<=50K
8422,40,HS-grad,Exec-managerial,Husband,White,Male,<=50K
8423,32,HS-grad,Exec-managerial,Wife,White,Female,<=50K
8424,34,Masters,Prof-specialty,Unmarried,Black,Female,<=50K
8425,37,HS-grad,Exec-managerial,Husband,White,Male,<=50K
8426,38,HS-grad,Craft-repair,Husband,White,Male,<=50K
8427,19,Assoc-voc,Other-service,Own-child,Asian-Pac-Islander,Male,<=50K
8428,49,9th,Handlers-cleaners,Not-in-family,White,Female,<=50K
8429,18,HS-grad,?,Own-child,Black,Female,<=50K
8430,26,Assoc-acdm,Prof-specialty,Not-in-family,White,Female,<=50K
8431,82,7th-8th,Handlers-cleaners,Husband,White,Male,<=50K
8432,40,HS-grad,Craft-repair,Not-in-family,White,Male,<=50K
8433,28,Some-college,Craft-repair,Own-child,White,Male,<=50K
8434,23,HS-grad,Sales,Husband,Black,Male,<=50K
8435,19,Some-college,Adm-clerical,Own-child,White,Male,<=50K
8436,67,HS-grad,Handlers-cleaners,Other-relative,Black,Male,<=50K
8437,43,Bachelors,Exec-managerial,Husband,White,Male,>50K
8438,41,Assoc-acdm,Adm-clerical,Not-in-family,Other,Female,<=50K
8439,37,Assoc-voc,Prof-specialty,Unmarried,White,Female,<=50K
8440,20,HS-grad,Transport-moving,Own-child,White,Male,<=50K
8441,40,HS-grad,Craft-repair,Unmarried,White,Male,<=50K
8442,47,Masters,Exec-managerial,Not-in-family,White,Male,>50K
8443,40,HS-grad,Tech-support,Husband,White,Male,<=50K
8444,39,Bachelors,Exec-managerial,Not-in-family,White,Female,<=50K
8445,24,Some-college,Adm-clerical,Own-child,Black,Female,<=50K
8446,78,HS-grad,?,Husband,White,Male,<=50K
8447,67,Assoc-voc,?,Not-in-family,White,Female,<=50K
8448,49,Bachelors,Sales,Husband,White,Male,>50K
8449,66,HS-grad,Machine-op-inspct,Not-in-family,White,Male,<=50K
8450,52,HS-grad,Prof-specialty,Unmarried,White,Female,<=50K
8451,59,HS-grad,Exec-managerial,Not-in-family,White,Male,<=50K
8452,72,HS-grad,Priv-house-serv,Unmarried,White,Female,<=50K
8453,35,HS-grad,Adm-clerical,Not-in-family,White,Male,<=50K
8454,30,Bachelors,Exec-managerial,Wife,White,Female,>50K
8455,36,Some-college,Other-service,Not-in-family,White,Male,<=50K
8456,26,HS-grad,Tech-support,Own-child,White,Female,<=50K
8457,23,Bachelors,Other-service,Not-in-family,White,Male,<=50K
8458,39,Bachelors,Prof-specialty,Husband,White,Male,>50K
8459,40,Prof-school,Prof-specialty,Husband,White,Male,<=50K
8460,29,Bachelors,Prof-specialty,Not-in-family,White,Male,<=50K
8461,38,Bachelors,Other-service,Not-in-family,White,Male,<=50K
8462,63,Bachelors,Adm-clerical,Not-in-family,White,Male,<=50K
8463,58,HS-grad,Exec-managerial,Husband,White,Male,>50K
8464,30,HS-grad,Exec-managerial,Unmarried,White,Female,<=50K
8465,38,HS-grad,Other-service,Unmarried,Black,Female,<=50K
8466,25,5th-6th,Adm-clerical,Not-in-family,White,Female,<=50K
8467,44,Masters,Prof-specialty,Husband,White,Male,>50K
8468,43,Assoc-voc,Adm-clerical,Wife,White,Female,>50K
8469,21,Some-college,Transport-moving,Own-child,White,Male,<=50K
8470,41,Assoc-acdm,Exec-managerial,Not-in-family,White,Male,<=50K
8471,38,Bachelors,Sales,Husband,White,Male,>50K
8472,75,Bachelors,?,Husband,White,Male,<=50K
8473,29,Some-college,Craft-repair,Husband,White,Male,<=50K
8474,52,HS-grad,Farming-fishing,Husband,White,Male,<=50K
8475,47,HS-grad,Exec-managerial,Unmarried,White,Female,<=50K
8476,28,Assoc-voc,Prof-specialty,Husband,White,Male,>50K
8477,24,Some-college,Priv-house-serv,Wife,White,Female,<=50K
8478,30,Masters,Prof-specialty,Husband,Asian-Pac-Islander,Male,<=50K
8479,30,Some-college,Exec-managerial,Husband,White,Male,>50K
8480,40,Assoc-acdm,Exec-managerial,Not-in-family,White,Male,>50K
8481,27,Some-college,Other-service,Own-child,White,Female,<=50K
8482,26,HS-grad,Protective-serv,Unmarried,White,Male,<=50K
8483,32,HS-grad,Other-service,Not-in-family,White,Male,<=50K
8484,36,Bachelors,Adm-clerical,Not-in-family,White,Female,<=50K
8485,26,12th,Transport-moving,Own-child,Black,Male,<=50K
8486,25,Some-college,Transport-moving,Not-in-family,Black,Male,<=50K
8487,39,Some-college,Tech-support,Not-in-family,White,Female,<=50K
8488,27,Assoc-voc,Tech-support,Husband,White,Male,<=50K
8489,24,HS-grad,Farming-fishing,Husband,White,Male,<=50K
8490,38,Bachelors,Sales,Husband,White,Male,>50K
8491,35,HS-grad,Farming-fishing,Husband,White,Male,<=50K
8492,29,Assoc-voc,Tech-support,Not-in-family,White,Male,<=50K
8493,49,HS-grad,Other-service,Not-in-family,Black,Female,<=50K
8494,36,9th,Machine-op-inspct,Husband,White,Male,<=50K
8495,47,Doctorate,Craft-repair,Husband,White,Male,<=50K
8496,21,Some-college,Other-service,Own-child,White,Male,<=50K
8497,35,Bachelors,Prof-specialty,Not-in-family,Asian-Pac-Islander,Female,>50K
8498,38,1st-4th,Handlers-cleaners,Husband,White,Male,<=50K
8499,66,Some-college,?,Husband,White,Male,<=50K
8500,45,Masters,Exec-managerial,Husband,White,Male,>50K
8501,19,Some-college,Other-service,Own-child,White,Female,<=50K
8502,18,HS-grad,Handlers-cleaners,Own-child,White,Male,<=50K
8503,37,Prof-school,Exec-managerial,Husband,White,Male,<=50K
8504,49,Bachelors,Prof-specialty,Unmarried,White,Female,<=50K
8505,33,Assoc-voc,Protective-serv,Husband,White,Male,>50K
8506,27,Some-college,Sales,Husband,White,Male,>50K
8507,34,Some-college,Adm-clerical,Unmarried,White,Female,<=50K
8508,54,Masters,Prof-specialty,Not-in-family,Asian-Pac-Islander,Female,<=50K
8509,24,Some-college,Transport-moving,Own-child,White,Male,<=50K
8510,44,Prof-school,Prof-specialty,Husband,White,Male,>50K
8511,48,Bachelors,Craft-repair,Not-in-family,White,Male,<=50K
8512,23,HS-grad,Adm-clerical,Unmarried,White,Female,<=50K
8513,29,HS-grad,Other-service,Own-child,White,Male,<=50K
8514,21,Assoc-acdm,Other-service,Own-child,White,Female,<=50K
8515,18,12th,Other-service,Own-child,White,Female,<=50K
8516,18,9th,Sales,Own-child,Other,Female,<=50K
8517,29,HS-grad,Craft-repair,Not-in-family,White,Male,<=50K
8518,29,HS-grad,Transport-moving,Not-in-family,White,Male,<=50K
8519,41,HS-grad,Machine-op-inspct,Other-relative,Black,Female,<=50K
8520,32,HS-grad,Handlers-cleaners,Not-in-family,White,Male,<=50K
8521,61,10th,Other-service,Not-in-family,Black,Female,<=50K
8522,79,HS-grad,Prof-specialty,Not-in-family,White,Male,<=50K
8523,34,Assoc-acdm,Machine-op-inspct,Not-in-family,White,Male,<=50K
8524,46,Bachelors,Exec-managerial,Husband,White,Male,>50K
8525,50,Assoc-voc,Sales,Husband,White,Male,>50K
8526,29,HS-grad,Machine-op-inspct,Husband,White,Male,<=50K
8527,23,Some-college,Adm-clerical,Not-in-family,White,Female,<=50K
8528,64,Some-college,Adm-clerical,Not-in-family,White,Female,<=50K
8529,70,Masters,Prof-specialty,Unmarried,White,Female,>50K
8530,28,Assoc-acdm,Adm-clerical,Not-in-family,White,Female,<=50K
8531,51,Assoc-voc,Handlers-cleaners,Husband,White,Male,<=50K
8532,20,Some-college,?,Own-child,White,Female,<=50K
8533,34,Bachelors,Prof-specialty,Not-in-family,White,Male,<=50K
8534,29,HS-grad,Handlers-cleaners,Own-child,White,Male,<=50K
8535,49,Bachelors,Other-service,Not-in-family,Asian-Pac-Islander,Male,<=50K
8536,77,Some-college,Exec-managerial,Husband,White,Male,<=50K
8537,32,HS-grad,Other-service,Own-child,White,Female,<=50K
8538,27,Bachelors,Tech-support,Wife,White,Female,>50K
8539,22,Some-college,Sales,Not-in-family,White,Female,<=50K
8540,35,HS-grad,Craft-repair,Husband,White,Male,>50K
8541,42,Bachelors,Protective-serv,Husband,White,Male,>50K
8542,35,HS-grad,Machine-op-inspct,Own-child,White,Male,<=50K
8543,62,HS-grad,?,Husband,White,Male,<=50K
8544,33,HS-grad,Protective-serv,Husband,White,Male,<=50K
8545,45,Some-college,Exec-managerial,Unmarried,White,Female,<=50K
8546,19,Some-college,Sales,Own-child,White,Female,<=50K
8547,38,HS-grad,Craft-repair,Not-in-family,White,Male,<=50K
8548,26,HS-grad,Machine-op-inspct,Husband,Black,Male,<=50K
8549,29,Bachelors,Exec-managerial,Not-in-family,White,Female,<=50K
8550,33,Bachelors,Prof-specialty,Husband,White,Male,>50K
8551,35,HS-grad,Farming-fishing,Not-in-family,White,Male,<=50K
8552,42,Some-college,Craft-repair,Husband,White,Male,<=50K
8553,20,Assoc-voc,Other-service,Own-child,White,Female,<=50K
8554,43,Masters,Prof-specialty,Husband,White,Male,>50K
8555,69,11th,Prof-specialty,Husband,Black,Male,<=50K
8556,39,HS-grad,Transport-moving,Own-child,White,Male,<=50K
8557,37,HS-grad,Machine-op-inspct,Husband,White,Male,<=50K
8558,28,Some-college,Craft-repair,Husband,White,Male,<=50K
8559,26,Bachelors,Tech-support,Not-in-family,White,Male,<=50K
8560,32,Some-college,Sales,Own-child,White,Male,<=50K
8561,43,Bachelors,Exec-managerial,Not-in-family,White,Male,>50K
8562,49,HS-grad,Exec-managerial,Husband,White,Male,<=50K
8563,28,7th-8th,Other-service,Own-child,White,Male,<=50K
8564,35,HS-grad,Machine-op-inspct,Husband,White,Male,<=50K
8565,19,Some-college,?,Own-child,White,Female,<=50K
8566,35,HS-grad,Craft-repair,Husband,White,Male,>50K
8567,57,HS-grad,Adm-clerical,Wife,White,Female,<=50K
8568,45,9th,Transport-moving,Husband,White,Male,<=50K
8569,23,HS-grad,Sales,Not-in-family,White,Male,<=50K
8570,45,HS-grad,Craft-repair,Husband,White,Male,<=50K
8571,42,HS-grad,Adm-clerical,Wife,White,Female,<=50K
8572,35,Bachelors,Other-service,Husband,Asian-Pac-Islander,Male,<=50K
8573,45,Bachelors,Prof-specialty,Husband,White,Male,>50K
8574,28,Bachelors,Exec-managerial,Not-in-family,White,Male,<=50K
8575,64,Assoc-voc,Craft-repair,Husband,White,Male,<=50K
8576,44,Prof-school,Prof-specialty,Unmarried,White,Female,<=50K
8577,59,HS-grad,Farming-fishing,Husband,White,Male,>50K
8578,41,HS-grad,Machine-op-inspct,Not-in-family,White,Male,<=50K
8579,21,Some-college,Sales,Own-child,Black,Male,<=50K
8580,29,Assoc-voc,Adm-clerical,Not-in-family,White,Female,<=50K
8581,51,HS-grad,Farming-fishing,Not-in-family,White,Male,>50K
8582,22,HS-grad,Adm-clerical,Own-child,White,Male,<=50K
8583,49,HS-grad,Other-service,Unmarried,White,Female,<=50K
8584,53,Assoc-acdm,Sales,Husband,White,Male,>50K
8585,38,Some-college,Adm-clerical,Unmarried,White,Female,<=50K
8586,23,Some-college,Craft-repair,Own-child,White,Male,<=50K
8587,20,HS-grad,Other-service,Own-child,White,Female,<=50K
8588,40,Bachelors,Craft-repair,Own-child,White,Female,<=50K
8589,25,Bachelors,Prof-specialty,Not-in-family,White,Female,<=50K
8590,27,Some-college,Tech-support,Not-in-family,White,Female,<=50K
8591,20,HS-grad,Other-service,Own-child,White,Male,<=50K
8592,37,HS-grad,Other-service,Wife,White,Female,<=50K
8593,40,HS-grad,Other-service,Own-child,White,Male,<=50K
8594,28,Bachelors,Exec-managerial,Husband,White,Male,>50K
8595,38,HS-grad,Other-service,Unmarried,White,Female,<=50K
8596,42,Bachelors,Exec-managerial,Unmarried,White,Female,<=50K
8597,32,Assoc-acdm,Protective-serv,Not-in-family,White,Male,<=50K
8598,20,HS-grad,Sales,Husband,White,Male,<=50K
8599,62,Bachelors,Adm-clerical,Husband,White,Male,<=50K
8600,31,Some-college,Adm-clerical,Not-in-family,White,Male,<=50K
8601,31,HS-grad,Craft-repair,Husband,White,Male,<=50K
8602,24,HS-grad,Adm-clerical,Own-child,White,Male,<=50K
8603,62,7th-8th,Other-service,Not-in-family,Black,Female,<=50K
8604,43,Some-college,Craft-repair,Husband,White,Male,>50K
8605,21,Some-college,Transport-moving,Own-child,White,Male,<=50K
8606,30,HS-grad,Exec-managerial,Not-in-family,White,Male,<=50K
8607,22,HS-grad,?,Unmarried,Black,Female,<=50K
8608,18,10th,Handlers-cleaners,Not-in-family,White,Male,<=50K
8609,59,Masters,Prof-specialty,Not-in-family,White,Female,<=50K
8610,24,7th-8th,Transport-moving,Husband,White,Male,>50K
8611,49,HS-grad,Craft-repair,Husband,White,Male,<=50K
8612,19,11th,Other-service,Own-child,White,Male,<=50K
8613,48,HS-grad,Machine-op-inspct,Husband,White,Male,>50K
8614,32,Prof-school,Sales,Husband,White,Male,>50K
8615,33,10th,Machine-op-inspct,Not-in-family,White,Female,<=50K
8616,23,Bachelors,Sales,Not-in-family,Black,Male,<=50K
8617,33,Prof-school,Prof-specialty,Not-in-family,White,Female,>50K
8618,50,Some-college,Exec-managerial,Husband,White,Male,>50K
8619,30,Bachelors,Exec-managerial,Husband,White,Male,<=50K
8620,32,Assoc-acdm,Prof-specialty,Husband,White,Male,<=50K
8621,39,Some-college,Sales,Husband,White,Male,<=50K
8622,21,Some-college,Sales,Own-child,White,Female,<=50K
8623,23,Bachelors,Prof-specialty,Own-child,White,Female,<=50K
8624,32,Bachelors,Exec-managerial,Not-in-family,White,Female,<=50K
8625,57,HS-grad,Handlers-cleaners,Husband,White,Male,<=50K
8626,22,Some-college,Prof-specialty,Not-in-family,White,Male,<=50K
8627,70,HS-grad,Adm-clerical,Unmarried,White,Female,<=50K
8628,34,Some-college,Tech-support,Husband,White,Male,>50K
8629,53,Masters,Sales,Not-in-family,White,Female,<=50K
8630,21,Some-college,Sales,Own-child,White,Male,<=50K
8631,37,HS-grad,Machine-op-inspct,Not-in-family,White,Male,<=50K
8632,60,HS-grad,Craft-repair,Husband,White,Male,>50K
8633,23,11th,Craft-repair,Own-child,Asian-Pac-Islander,Male,>50K
8634,32,10th,Transport-moving,Husband,White,Male,>50K
8635,57,HS-grad,Machine-op-inspct,Husband,White,Male,<=50K
8636,65,HS-grad,?,Husband,White,Male,<=50K
8637,25,Some-college,Adm-clerical,Not-in-family,White,Male,<=50K
8638,30,HS-grad,Craft-repair,Husband,White,Male,<=50K
8639,31,HS-grad,Adm-clerical,Not-in-family,White,Female,<=50K
8640,19,Some-college,Other-service,Own-child,White,Male,<=50K
8641,23,Bachelors,Tech-support,Husband,White,Male,<=50K
8642,44,HS-grad,Sales,Husband,White,Male,<=50K
8643,43,Some-college,?,Husband,White,Male,>50K
8644,42,Some-college,Machine-op-inspct,Unmarried,Black,Female,<=50K
8645,34,11th,Machine-op-inspct,Husband,White,Male,<=50K
8646,32,HS-grad,Craft-repair,Husband,White,Male,>50K
8647,25,Assoc-voc,Tech-support,Unmarried,Black,Female,<=50K
8648,21,Some-college,Exec-managerial,Own-child,White,Female,<=50K
8649,31,HS-grad,Priv-house-serv,Other-relative,Black,Female,<=50K
8650,36,Assoc-voc,Prof-specialty,Not-in-family,White,Female,<=50K
8651,49,Some-college,Craft-repair,Husband,White,Male,<=50K
8652,44,Bachelors,Adm-clerical,Unmarried,White,Female,<=50K
8653,42,Assoc-voc,Sales,Husband,White,Male,>50K
8654,30,HS-grad,Protective-serv,Not-in-family,White,Male,<=50K
8655,33,10th,Machine-op-inspct,Husband,White,Male,<=50K
8656,36,Bachelors,Other-service,Unmarried,Black,Male,>50K
8657,17,10th,Other-service,Own-child,White,Male,<=50K
8658,20,Some-college,Sales,Not-in-family,White,Male,<=50K
8659,32,HS-grad,Craft-repair,Own-child,White,Male,<=50K
8660,33,HS-grad,Craft-repair,Husband,White,Male,<=50K
8661,37,Some-college,Exec-managerial,Unmarried,White,Female,<=50K
8662,60,10th,Farming-fishing,Not-in-family,White,Male,<=50K
8663,35,Some-college,Adm-clerical,Unmarried,White,Female,<=50K
8664,43,Bachelors,Adm-clerical,Unmarried,White,Female,<=50K
8665,46,Some-college,Tech-support,Husband,White,Male,>50K
8666,29,HS-grad,Transport-moving,Husband,White,Male,>50K
8667,36,Bachelors,Sales,Husband,White,Male,>50K
